date,time,origin,destination,ridership
2025-01-11,15:00,Woodlands CIQ,JB Sentral,323
2025-01-11,15:00,JB Sentral,Woodlands CIQ,323
2025-01-11,16:00,Woodlands CIQ,JB Sentral,322
2025-01-11,16:00,JB Sentral,Woodlands CIQ,325
2025-01-11,17:00,Woodlands CIQ,JB Sentral,322
2025-01-11,17:00,JB Sentral,Woodlands CIQ,320
2025-01-11,18:00,Woodlands CIQ,JB Sentral,323
2025-01-11,19:00,JB Sentral,Woodlands CIQ,322
2025-01-11,20:00,Woodlands CIQ,JB Sentral,207
2025-01-11,20:00,JB Sentral,Woodlands CIQ,320
2025-01-11,21:00,Woodlands CIQ,JB Sentral,196
2025-01-11,21:00,JB Sentral,Woodlands CIQ,321
2025-01-11,22:00,Woodlands CIQ,JB Sentral,205
2025-01-11,22:00,JB Sentral,Woodlands CIQ,320
2025-01-11,23:00,Woodlands CIQ,JB Sentral,110
2025-01-12,05:00,JB Sentral,Woodlands CIQ,112
2025-01-12,06:00,JB Sentral,Woodlands CIQ,142
2025-01-12,07:00,JB Sentral,Woodlands CIQ,329
2025-01-12,08:00,Woodlands CIQ,JB Sentral,319
2025-01-12,08:00,JB Sentral,Woodlands CIQ,328
2025-01-12,09:00,Woodlands CIQ,JB Sentral,322
2025-01-12,10:00,JB Sentral,Woodlands CIQ,322
2025-01-12,11:00,Woodlands CIQ,JB Sentral,323
2025-01-12,11:00,JB Sentral,Woodlands CIQ,323
2025-01-12,12:00,Woodlands CIQ,JB Sentral,320
2025-01-12,12:00,JB Sentral,Woodlands CIQ,323
2025-01-12,13:00,Woodlands CIQ,JB Sentral,325
2025-01-12,14:00,JB Sentral,Woodlands CIQ,322
2025-01-12,15:00,Woodlands CIQ,JB Sentral,182
2025-01-12,15:00,JB Sentral,Woodlands CIQ,324
2025-01-12,16:00,Woodlands CIQ,JB Sentral,99
2025-01-12,16:00,JB Sentral,Woodlands CIQ,321
2025-01-12,17:00,Woodlands CIQ,JB Sentral,119
2025-01-12,17:00,JB Sentral,Woodlands CIQ,326
2025-01-12,18:00,Woodlands CIQ,JB Sentral,95
2025-01-12,19:00,JB Sentral,Woodlands CIQ,322
2025-01-12,20:00,Woodlands CIQ,JB Sentral,105
2025-01-12,20:00,JB Sentral,Woodlands CIQ,320
2025-01-12,21:00,Woodlands CIQ,JB Sentral,89
2025-01-12,21:00,JB Sentral,Woodlands CIQ,320
2025-01-12,22:00,Woodlands CIQ,JB Sentral,78
2025-01-12,22:00,JB Sentral,Woodlands CIQ,320
2025-01-12,23:00,Woodlands CIQ,JB Sentral,35
2025-01-13,05:00,JB Sentral,Woodlands CIQ,640
2025-01-13,06:00,JB Sentral,Woodlands CIQ,640
2025-01-13,07:00,JB Sentral,Woodlands CIQ,640
2025-01-13,08:00,Woodlands CIQ,JB Sentral,321
2025-01-13,08:00,JB Sentral,Woodlands CIQ,320
2025-01-13,09:00,Woodlands CIQ,JB Sentral,320
2025-01-13,10:00,JB Sentral,Woodlands CIQ,321
2025-01-13,11:00,Woodlands CIQ,JB Sentral,320
2025-01-13,11:00,JB Sentral,Woodlands CIQ,250
2025-01-13,12:00,Woodlands CIQ,JB Sentral,321
2025-01-13,12:00,JB Sentral,Woodlands CIQ,315
2025-01-13,13:00,Woodlands CIQ,JB Sentral,321
2025-01-13,15:00,JB Sentral,Woodlands CIQ,324
2025-01-13,16:00,Woodlands CIQ,JB Sentral,115
2025-01-13,16:00,JB Sentral,Woodlands CIQ,323
2025-01-13,17:00,Woodlands CIQ,JB Sentral,133
2025-01-13,17:00,JB Sentral,Woodlands CIQ,322
2025-01-13,18:00,Woodlands CIQ,JB Sentral,320
2025-01-13,19:00,JB Sentral,Woodlands CIQ,322
2025-01-13,20:00,Woodlands CIQ,JB Sentral,321
2025-01-13,20:00,JB Sentral,Woodlands CIQ,322
2025-01-13,21:00,Woodlands CIQ,JB Sentral,226
2025-01-13,21:00,JB Sentral,Woodlands CIQ,320
2025-01-13,22:00,Woodlands CIQ,JB Sentral,84
2025-01-13,22:00,JB Sentral,Woodlands CIQ,321
2025-01-13,23:00,Woodlands CIQ,JB Sentral,28
2025-01-14,05:00,JB Sentral,Woodlands CIQ,639
2025-01-14,06:00,JB Sentral,Woodlands CIQ,640
2025-01-14,07:00,JB Sentral,Woodlands CIQ,640
2025-01-14,08:00,Woodlands CIQ,JB Sentral,320
2025-01-14,08:00,JB Sentral,Woodlands CIQ,321
2025-01-14,09:00,Woodlands CIQ,JB Sentral,321
2025-01-14,10:00,JB Sentral,Woodlands CIQ,176
2025-01-14,11:00,Woodlands CIQ,JB Sentral,321
2025-01-14,11:00,JB Sentral,Woodlands CIQ,201
2025-01-14,12:00,Woodlands CIQ,JB Sentral,320
2025-01-14,12:00,JB Sentral,Woodlands CIQ,139
2025-01-14,13:00,Woodlands CIQ,JB Sentral,244
2025-01-14,14:00,JB Sentral,Woodlands CIQ,191
2025-01-14,15:00,Woodlands CIQ,JB Sentral,89
2025-01-14,15:00,JB Sentral,Woodlands CIQ,323
2025-01-14,16:00,Woodlands CIQ,JB Sentral,79
2025-01-14,16:00,JB Sentral,Woodlands CIQ,322
2025-01-14,17:00,Woodlands CIQ,JB Sentral,120
2025-01-14,17:00,JB Sentral,Woodlands CIQ,321
2025-01-14,18:00,Woodlands CIQ,JB Sentral,320
2025-01-14,19:00,JB Sentral,Woodlands CIQ,320
2025-01-14,20:00,Woodlands CIQ,JB Sentral,320
2025-01-14,20:00,JB Sentral,Woodlands CIQ,319
2025-01-14,21:00,Woodlands CIQ,JB Sentral,183
2025-01-14,21:00,JB Sentral,Woodlands CIQ,324
2025-01-14,22:00,Woodlands CIQ,JB Sentral,99
2025-01-14,22:00,JB Sentral,Woodlands CIQ,318
2025-01-14,23:00,Woodlands CIQ,JB Sentral,26
2025-01-15,05:00,JB Sentral,Woodlands CIQ,624
2025-01-15,06:00,JB Sentral,Woodlands CIQ,640
2025-01-15,07:00,JB Sentral,Woodlands CIQ,640
2025-01-15,08:00,Woodlands CIQ,JB Sentral,320
2025-01-15,08:00,JB Sentral,Woodlands CIQ,320
2025-01-15,09:00,Woodlands CIQ,JB Sentral,320
2025-01-15,10:00,JB Sentral,Woodlands CIQ,246
2025-01-15,11:00,Woodlands CIQ,JB Sentral,320
2025-01-15,11:00,JB Sentral,Woodlands CIQ,148
2025-01-15,12:00,Woodlands CIQ,JB Sentral,320
2025-01-15,12:00,JB Sentral,Woodlands CIQ,124
2025-01-15,13:00,Woodlands CIQ,JB Sentral,285
2025-01-15,14:00,JB Sentral,Woodlands CIQ,178
2025-01-15,15:00,Woodlands CIQ,JB Sentral,101
2025-01-15,15:00,JB Sentral,Woodlands CIQ,324
2025-01-15,16:00,Woodlands CIQ,JB Sentral,58
2025-01-15,16:00,JB Sentral,Woodlands CIQ,318
2025-01-15,17:00,Woodlands CIQ,JB Sentral,162
2025-01-15,17:00,JB Sentral,Woodlands CIQ,320
2025-01-15,18:00,Woodlands CIQ,JB Sentral,320
2025-01-15,19:00,JB Sentral,Woodlands CIQ,320
2025-01-15,20:00,Woodlands CIQ,JB Sentral,321
2025-01-15,20:00,JB Sentral,Woodlands CIQ,320
2025-01-15,21:00,Woodlands CIQ,JB Sentral,229
2025-01-15,21:00,JB Sentral,Woodlands CIQ,320
2025-01-15,22:00,Woodlands CIQ,JB Sentral,138
2025-01-15,22:00,JB Sentral,Woodlands CIQ,319
2025-01-15,23:00,Woodlands CIQ,JB Sentral,35
2025-01-16,05:00,JB Sentral,Woodlands CIQ,638
2025-01-16,06:00,JB Sentral,Woodlands CIQ,640
2025-01-16,07:00,JB Sentral,Woodlands CIQ,640
2025-01-16,08:00,Woodlands CIQ,JB Sentral,320
2025-01-16,08:00,JB Sentral,Woodlands CIQ,320
2025-01-16,09:00,Woodlands CIQ,JB Sentral,321
2025-01-16,11:00,JB Sentral,Woodlands CIQ,241
2025-01-16,12:00,Woodlands CIQ,JB Sentral,322
2025-01-16,12:00,JB Sentral,Woodlands CIQ,123
2025-01-16,13:00,Woodlands CIQ,JB Sentral,322
2025-01-16,14:00,JB Sentral,Woodlands CIQ,167
2025-01-16,15:00,Woodlands CIQ,JB Sentral,178
2025-01-16,15:00,JB Sentral,Woodlands CIQ,321
2025-01-16,16:00,Woodlands CIQ,JB Sentral,102
2025-01-16,16:00,JB Sentral,Woodlands CIQ,322
2025-01-16,17:00,Woodlands CIQ,JB Sentral,212
2025-01-16,17:00,JB Sentral,Woodlands CIQ,319
2025-01-16,18:00,Woodlands CIQ,JB Sentral,317
2025-01-16,19:00,JB Sentral,Woodlands CIQ,320
2025-01-16,20:00,Woodlands CIQ,JB Sentral,320
2025-01-16,20:00,JB Sentral,Woodlands CIQ,320
2025-01-16,21:00,Woodlands CIQ,JB Sentral,323
2025-01-16,21:00,JB Sentral,Woodlands CIQ,320
2025-01-16,22:00,Woodlands CIQ,JB Sentral,295
2025-01-16,22:00,JB Sentral,Woodlands CIQ,320
2025-01-16,23:00,Woodlands CIQ,JB Sentral,69
2025-01-17,05:00,JB Sentral,Woodlands CIQ,568
2025-01-17,06:00,JB Sentral,Woodlands CIQ,640
2025-01-17,07:00,JB Sentral,Woodlands CIQ,640
2025-01-17,08:00,Woodlands CIQ,JB Sentral,320
2025-01-17,08:00,JB Sentral,Woodlands CIQ,320
2025-01-17,09:00,Woodlands CIQ,JB Sentral,320
2025-01-17,10:00,JB Sentral,Woodlands CIQ,178
2025-01-17,11:00,Woodlands CIQ,JB Sentral,320
2025-01-17,11:00,JB Sentral,Woodlands CIQ,151
2025-01-17,12:00,Woodlands CIQ,JB Sentral,320
2025-01-17,12:00,JB Sentral,Woodlands CIQ,142
2025-01-17,13:00,Woodlands CIQ,JB Sentral,321
2025-01-17,14:00,JB Sentral,Woodlands CIQ,185
2025-01-17,15:00,Woodlands CIQ,JB Sentral,321
2025-01-17,15:00,JB Sentral,Woodlands CIQ,323
2025-01-17,16:00,Woodlands CIQ,JB Sentral,321
2025-01-17,16:00,JB Sentral,Woodlands CIQ,320
2025-01-17,17:00,Woodlands CIQ,JB Sentral,322
2025-01-17,17:00,JB Sentral,Woodlands CIQ,320
2025-01-17,18:00,Woodlands CIQ,JB Sentral,320
2025-01-17,19:00,JB Sentral,Woodlands CIQ,320
2025-01-17,20:00,Woodlands CIQ,JB Sentral,320
2025-01-17,20:00,JB Sentral,Woodlands CIQ,320
2025-01-17,21:00,Woodlands CIQ,JB Sentral,326
