od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Anak Bukit → Taiping,47.0,14.0,3.0,2.0,12.0,207.0,153.0,239.0,174.0,107.0,280.0,149.0,221.0,206.0,263.0,295.0,266.0,333.0,143.0,33.0,76.0,9.0,0.0,1.0
Anak Bukit → Tasek Gelugor,100.0,72.0,18.0,16.0,27.0,1385.0,4307.0,3411.0,1548.0,1100.0,1576.0,736.0,1351.0,695.0,1594.0,1663.0,2375.0,2392.0,3199.0,1870.0,925.0,1014.0,225.0,267.0
Anak Bukit → Unknown,0.0,0.0,0.0,1.0,0.0,5.0,10.0,5.0,6.0,1.0,7.0,2.0,1.0,2.0,3.0,5.0,2.0,8.0,7.0,2.0,2.0,4.0,0.0,0.0
Arau → Alor Setar,379.0,217.0,79.0,42.0,69.0,459.0,3476.0,6416.0,7086.0,3644.0,9998.0,3674.0,7544.0,2969.0,5999.0,5137.0,3464.0,4504.0,3132.0,2718.0,739.0,1053.0,323.0,23.0
Arau → Anak Bukit,116.0,60.0,18.0,23.0,35.0,371.0,1846.0,2573.0,2258.0,746.0,1288.0,877.0,1517.0,874.0,1538.0,1649.0,1698.0,2392.0,1824.0,1813.0,407.0,569.0,176.0,12.0
Arau → Arau,1.0,0.0,0.0,0.0,0.0,0.0,31.0,12.0,5.0,5.0,9.0,10.0,16.0,8.0,18.0,10.0,13.0,4.0,5.0,2.0,6.0,10.0,3.0,0.0
Arau → Bagan Serai,18.0,12.0,6.0,4.0,15.0,77.0,82.0,194.0,100.0,135.0,253.0,123.0,310.0,169.0,270.0,215.0,253.0,302.0,52.0,55.0,22.0,4.0,5.0,0.0
Arau → Bukit Ketri,3.0,0.0,2.0,1.0,1.0,2.0,13.0,49.0,43.0,24.0,18.0,46.0,23.0,54.0,42.0,54.0,132.0,107.0,72.0,47.0,48.0,20.0,14.0,4.0
Arau → Bukit Mertajam,195.0,110.0,62.0,49.0,199.0,1414.0,2302.0,2931.0,2655.0,1827.0,3269.0,1179.0,3281.0,1410.0,3740.0,2823.0,3538.0,3159.0,3482.0,2622.0,1324.0,2256.0,28.0,345.0
Arau → Bukit Tengah,100.0,63.0,37.0,42.0,303.0,2893.0,3605.0,4054.0,1600.0,575.0,1818.0,477.0,1760.0,543.0,1741.0,1426.0,1720.0,1586.0,1736.0,1834.0,1084.0,2518.0,9.0,376.0
Arau → Butterworth,557.0,249.0,139.0,98.0,407.0,3069.0,4160.0,5843.0,5346.0,2910.0,6186.0,2199.0,6511.0,2566.0,6428.0,4487.0,4890.0,4525.0,3902.0,3285.0,1257.0,1979.0,43.0,284.0
Arau → Gurun,68.0,22.0,13.0,12.0,17.0,314.0,1780.0,1916.0,987.0,527.0,1021.0,636.0,1206.0,742.0,1461.0,1448.0,1751.0,2457.0,2204.0,1092.0,451.0,626.0,111.0,14.0
Arau → Ipoh,230.0,140.0,65.0,63.0,182.0,515.0,761.0,1480.0,644.0,795.0,1456.0,1045.0,1677.0,817.0,2060.0,1063.0,1303.0,851.0,302.0,147.0,224.0,259.0,24.0,5.0
Arau → Kamunting,13.0,8.0,4.0,7.0,15.0,61.0,115.0,210.0,89.0,110.0,225.0,80.0,229.0,136.0,281.0,235.0,226.0,308.0,34.0,17.0,30.0,8.0,1.0,0.0
Arau → Kobah,57.0,22.0,9.0,6.0,6.0,197.0,755.0,1472.0,647.0,520.0,704.0,547.0,971.0,607.0,1074.0,1061.0,1213.0,1554.0,1114.0,856.0,432.0,382.0,105.0,5.0
Arau → Kodiang,5.0,0.0,0.0,1.0,2.0,10.0,34.0,50.0,43.0,38.0,44.0,29.0,62.0,51.0,88.0,78.0,54.0,82.0,58.0,69.0,20.0,24.0,5.0,3.0
